Title,Author,Link,Date
AI Ethics Struggling With The Fiery One-Two Punch Of Both AI-Based Autonomous Weapons Systems And The Exploitation Of AI-Driven Autonomous Systems That Are Devilishly Weaponized,Alan Ohnsman,https://www.forbes.com/sites/lanceeliot/2022/07/25/ai-ethics-struggling-with-the-fiery-one-two-punch-of-both-ai-based-autonomous-weapons-systems-and-the-exploitation-of-ai-driven-autonomous-systems-that-are-devilishly-weaponized/,2022-07-25
Intel Foundry Services (IFS) And MediaTek Strike Strategic Partnership Agreement,Alan Ohnsman,https://www.forbes.com/sites/tiriasresearch/2022/07/25/intel-foundry-services-ifs-and-mediatek-strike-strategic-partnership-agreement/,2022-07-25
Is It Ethical To Use Robots In War? What Are The Risks Associated With It?,Jeremy Bogaisky,https://www.forbes.com/sites/naveenjoshi/2022/07/25/is-it-ethical-to-use-robots-in-war-what-are-the-risks-associated-with-it/,2022-07-25
"On Artificial General Intelligence, AI Sentience, And Large Language Models",Cyrus Farivar,https://www.forbes.com/sites/robtoews/2022/07/24/on-artificial-general-intelligence-ai-sentience-and-large-language-models/,2022-07-25
AI Ethics And Autonomous Systems Lessons Gleaned From That Recent Alaska Airlines Flight Where The Pilot And Co-Pilot Disagreed Prior To Taking Off And Abruptly Opted To Taxi Back To The Terminal And Go Their Separate Ways,Amy Feldman,https://www.forbes.com/sites/lanceeliot/2022/07/23/ai-ethics-and-autonomous-systems-lessons-gleaned-from-that-recent-alaska-airlines-flight-where-the-pilot-and-co-pilot-disagreed-prior-to-taking-off-and-abruptly-opted-to-taxi-back-to-the-terminal-and-go-their-separate-ways/,2022-07-23
"2022 Neil Trevett’s Top Insights-Chair Metaverse Standards Forum, President The Khronos Group",,https://www.forbes.com/sites/stephenibaraki/2022/07/22/2022-neil-trevetts-top-insights-chair-metaverse-standards-forum-president-the-khronos-group/,2022-07-22
5 Ways Autonomous Cars Will Reshape Our World,,https://www.forbes.com/sites/naveenjoshi/2022/07/22/5-ways-autonomous-cars-will-reshape-our-world/,2022-07-22
How MIT Helped A Blind Robot Teach Itself To Walk In 3 Hours,,https://www.forbes.com/sites/johnkoetsier/2022/07/21/how-mit-helped-a-blind-robot-teach-itself-to-walk-in-3-hours/,2022-07-21
"Together, AMD, Pensando, And Xilinx Advance Their Roadmaps",,https://www.forbes.com/sites/tiriasresearch/2022/07/20/together-amd-pensando-and-xilinx-advance-their-roadmaps/,2022-07-20
"The Quantum Era Is Arriving, And It Will Be Transformational !",,https://www.forbes.com/sites/chuckbrooks/2022/07/20/the-quantum-era-is-arriving-and-it-will-be-transformational-/,2022-07-20
Amazon Hypes Ambient Computing: 300 Million Smart Home Devices Now Connected To Alexa,,https://www.forbes.com/sites/johnkoetsier/2022/07/20/amazon-pushes-ambient-computing-300-million-smart-home-devices-now-connected-to-alexa/,2022-07-20
Amazon’s Zoox Says Its Robotaxi Has Met The Highest Crash Safety Standards,,https://www.forbes.com/sites/alanohnsman/2022/07/20/amazons-zoox-says-its-robotaxi-has-met-the-highest-crash-safety-standards/,2022-07-20
Importance Of AI Safety Being Smartly Illuminated Amid Latest Trends Showcased At Stanford AI Safety Workshop Encompassing Autonomous Systems,,https://www.forbes.com/sites/lanceeliot/2022/07/20/importance-of-ai-safety-smartly-illuminated-amid-latest-trends-showcased-at-stanford-ai-safety-workshop-encompassing-autonomous-systems/,2022-07-20
4 Ways Computer Vision Will Reshape Urban Transportation,,https://www.forbes.com/sites/naveenjoshi/2022/07/20/4-ways-computer-vision-will-reshape-urban-transportation/,2022-07-20
Switchback And AMD Bring AI To BattleBots,,https://www.forbes.com/sites/tiriasresearch/2022/07/20/switchback-and-amd-bring-ai-to-battlebots/,2022-07-20
"Google Is Evolving Search As Zoomers Use TikTok, Instagram To Find Things Online",,https://www.forbes.com/sites/johanmoreno/2022/07/19/google-is-evolving-search-as-zoomers-are-using-tiktok-instagram-to-find-things-online/,2022-07-19
YouTube TV Has Over 5 Million Subscribers. Is Pay TV No Longer Dead?,,https://www.forbes.com/sites/johanmoreno/2022/07/18/youtube-tv-has-over-5-million-subscribers-is-pay-tv-no-longer-dead/,2022-07-18
Why Corporate Purpose And AI Ethics Must Be a Leadership And Risk Management Priority,,https://www.forbes.com/sites/cindygordon/2022/07/17/why-corporate-purpose-and-ai-ethics-must-be-a-leadership-and-risk-management-priority/,2022-07-17
How To Use AI To Eliminate Bias,,https://www.forbes.com/sites/glenngow/2022/07/17/how-to-use-ai-to-eliminate-bias/,2022-07-17
Intel’s CEO And The SIA To Congress: Pass The US CHIPS Act!,,https://www.forbes.com/sites/tiriasresearch/2022/07/16/intels-ceo-and-the-sia-to-congress-pass-the-us-chips-act/,2022-07-16
AI Ethics Cautiously Assessing Whether Offering AI Biases Hunting Bounties To Catch And Nab Ethically Wicked Fully Autonomous Systems Is Prudent Or Futile,,https://www.forbes.com/sites/lanceeliot/2022/07/16/ai-ethics-cautiously-assessing-whether-offering-ai-biases-hunting-bounties-to-catch-and-nab-ethically-wicked-fully-autonomous-systems-is-prudent-or-futile/,2022-07-16
Tesla’s AI Chief And Top Member Of Automated Driving Team Resigns,,https://www.forbes.com/sites/alanohnsman/2022/07/14/teslas-ai-chief-and-top-member-of-automated-driving-team-resigns/,2022-07-14
The New Saudi Arabia - Vision 2030 and AI,,https://www.forbes.com/sites/alexzhavoronkov/2022/07/14/the-new-saudi-arabiavision-2030-and-ai/,2022-07-14
Building The Ultimate AI Mind,,https://www.forbes.com/sites/markminevich/2022/07/13/building-the-ultimate-ai-mind/,2022-07-13
Merlin Labs Raises $105 Million To Solve The Pilot Shortage By Robotizing Airplanes,,https://www.forbes.com/sites/jeremybogaisky/2022/07/13/merlin-labs-raises-105-million-to-solve-the-pilot-shortage-by-robotizing-airplanes/,2022-07-13
From Physicist To Machine Learning Engineer,,https://www.forbes.com/sites/aparnadhinakaran/2022/07/13/from-physicist-to-machine-learning-engineer/,2022-07-13
"AI Ethics Ringing Alarm Bells About The Looming Specter Of AI Biases At Massive Global Scale, Especially Fueled Via Looming Fully Autonomous Systems",,https://www.forbes.com/sites/lanceeliot/2022/07/13/ai-ethics-ringing-alarm-bells-about-the-looming-specter-of-ai-biases-at-massive-global-scale-especially-fueled-via-looming-fully-autonomous-systems/,2022-07-13
Reinventing How We View Substance Abuse,,https://www.forbes.com/sites/heatherwishartsmith/2022/07/12/reinventing-how-we-view-substance-abuse/,2022-07-12
"IEEE Top 2022 Medal Of Honor Awardee, Dr. Madni Shares Deep Lessons",,https://www.forbes.com/sites/stephenibaraki/2022/07/11/ieee-top-2022-medal-of-honor-awardee-dr-madni-shares-deep-lessons/,2022-07-11
Can Crypto Be The Key For Continued Support For Ukraine As The World’s Outrage Wanes?,,https://www.forbes.com/sites/hessiejones/2022/07/11/can-two-activists-pleas-for-continued-support-for-ukraine-persevere-as-the-worlds-outrage-wanes/,2022-07-11
Can AI Be A Force For Good In Improving Diversity In Hiring?,Cyrus Farivar,https://www.forbes.com/sites/aparnadhinakaran/2022/07/11/can-ai-be-a-force-for-good-in-improving-diversity-in-hiring/,2022-07-11
AI Ethics Exasperated By Those Gaslighting AI-Focused Edgelords That Goadingly Say Outlandishly Infuriating Things About AI Ethics And AI Autonomous Systems,Alex Knapp,https://www.forbes.com/sites/lanceeliot/2022/07/10/ai-ethics-exasperated-by-those-gaslighting-ai-focused-edgelords-that-goadingly-say-outlandishly-infuriating-things-about-ai-ethics-and-ai-autonomous-systems/,2022-07-10
"Cruise Robotaxis Keep Stalling On SF Streets, How Upset Should We Be?",Lance Eliot,https://www.forbes.com/sites/bradtempleton/2022/07/08/cruise-robotaxis-keep-stalling-on-sf-streets-how-upset-should-we-be/,2022-07-08
Aurora Solar Uses Artificial Intelligence To Power Its $4.4 Billion Green Energy Company,Steven Leibson,https://www.forbes.com/video/6309280225112/,2022-07-08
"Lower Valuations, Shut-Downs, Investment Pause. What’s A Founder To Do? Eight Investors Weigh In",Naveen Joshi,https://www.forbes.com/sites/hessiejones/2022/07/08/lower-valuations-shut-downs-investment-pause-whats-a-founder-to-do-eight-investors-weigh-in/,2022-07-08
